name,value,e,Пояснение,Размерность,Где искать
R_h,1.18,1,Коэффициент Холла для Si,б/р,У всех одинаково
I,5,-3,Ток,мА,Таблица с данными согласно варианту
B,1,1,Магнитная индукция,Тл,Таблица с данными согласно варианту
q,1.6,-19,Заряд электрона,Кл,Таблица с данными согласно варианту
U_h,2,-3,Напряжение Холла,мВ,Таблица с данными согласно варианту
d,0.1,-2,Ширина образца полупроводника,см,Таблица с данными согласно варианту
L,1,-2,Длина образца полупроводника,см,Таблица с данными согласно варианту
a,0.2,-2,Толщина образца полупроводника,см,Таблица с данными согласно варианту
U,0.145,1,"Напряжение, приложенное к полупроводнику",В,Таблица с данными согласно варианту
k,1.38,-23,Постоянная Больцмана,Дж / К,У всех одинаково
T,300,1,Температура,"Град, К",У всех одинаково
